Категория: Все категории

Страна,kitty: (19.04.2016 – 19.04.2021)
Филиппины,100
Гайана,
Восточный Тимор,
Индонезия,79
Сингапур,73
Макао,
Бруней-Даруссалам,
Тайвань,63
Гонконг,62
Малайзия,60
Виргинские о-ва (США),
Ямайка,
Гуам,
Соединенные Штаты,49
Северные Марианские о-ва,
Аландские о-ва,
Австралия,37
Мексика,37
Канада,36
Сальвадор,
Гренада,
Перу,33
Бермудские о-ва,
Мальдивы,
Острова Кайман,
Багамы,
Тринидад и Тобаго,
Сент-Люсия,
Коста-Рика,30
Шри-Ланка,30
Кабо-Верде,
Великобритания,29
Бутан,
Пуэрто-Рико,
Гернси,
Гондурас,
Монако,
Мьянма (Бирма),
Антигуа и Барбуда,
Венгрия,28
Маврикий,
Новая Зеландия,27
о-в Св. Елены,
Сент-Китс и Невис,
Ирландия,26
Фарерские о-ва,
Барбадос,
Венесуэла,26
Нидерланды,25
Гватемала,25
Эквадор,24
ОАЭ,24
Китай,
Чили,24
Норвегия,24
Панама,
Исландия,
Суринам,
Швеция,23
Катар,
Вьетнам,23
Белиз,
Сент-Винсент и Гренадины,
Мальта,
Синт-Мартен,
Тунис,
Мадагаскар,
о-в Мэн,
Куба,
Словакия,22
Никарагуа,
Колумбия,22
Французская Гвиана,
Джерси,
Бахрейн,
Гваделупа,
Боливия,
Южно-Африканская Республика,21
Румыния,20
Люксембург,
Ливан,
Аргентина,20
Кюрасао,
Парагвай,
Индия,20
Австрия,20
Финляндия,20
Реюньон,
Уругвай,
Косово,
Португалия,19
Хорватия,19
Северная Македония,
Габон,
Камбоджа,
Словения,
Эстония,
Французская Полинезия,
Бельгия,18
Аруба,
Польша,18
Чехия,18
Папуа — Новая Гвинея,
Эсватини,
Гренландия,
Лаос,
Германия,17
Гибралтар,
Фиджи,
Швейцария,17
Босния и Герцеговина,
Новая Каледония,
Кипр,
Таиланд,17
Пакистан,17
Кувейт,
Непал,
Франция,16
Испания,16
Ботсвана,
Греция,16
Дания,16
Доминиканская Республика,
Сербия,15
Конго - Браззавиль,
Бангладеш,15
Монголия,
Литва,
Италия,15
Латвия,
Лесото,
Ангола,
Намибия,
Алжир,14
Молдова,
Андорра,
Албания,
Мартиника,
Нигер,
Марокко,13
Оман,
Армения,
Азербайджан,
Бразилия,12
Турция,12
Замбия,
Грузия,
Джибути,
Малави,
Зимбабве,
Черногория,
Туркменистан,
Афганистан,
Болгария,
Мозамбик,
Ирак,
Камерун,
Лихтенштейн,
Гвинея,
Израиль,9
Сен-Бартелеми,
Гаити,
Египет,9
Сенегал,
Кот-д’Ивуар,
Сомали,
Нигерия,9
Иордания,
Доминика,
Гана,
Бенин,
"Бонэйр, Синт-Эстатиус и Саба",
Кения,
Украина,8
Россия,8
Палестина,
Республика Корея,8
Мали,
Руанда,
Эфиопия,
Того,
Саудовская Аравия,7
Конго - Киншаса,
Узбекистан,
Казахстан,
Беларусь,
Мавритания,
Танзания,
Майотта,
Киргизия,
Уганда,
Ливия,
Сирия,
Буркина-Фасо,
Йемен,
Судан,
Иран,3
Япония,3
Таджикистан,
Шпицберген и Ян-Майен,
Монтсеррат,
Палау,
Ангилья,
Сейшельские Острова,
Острова Кука,
Американское Самоа,
Коморы,
Соломоновы Острова,
Виргинские о-ва (Великобритания),
Самоа,
о-ва Тёркс и Кайкос,
Тонга,
Сен-Мартен,
Экваториальная Гвинея,
Западная Сахара,
Сен-Пьер и Микелон,
Федеративные Штаты Микронезии,
Бурунди,
Либерия,
Вануату,
Центрально-Африканская Республика,
Гамбия,
Сан-Томе и Принсипи,
Сьерра-Леоне,
Чад,
Южный Судан,
Гвинея-Бисау,
Антарктида,
Французские Южные территории,
о-в Буве,
Кокосовые о-ва,
о-в Рождества,
Эритрея,
Фолклендские (Мальвинские) о-ва,
о-ва Херд и Макдональд,
Британская территория в Индийском океане,
Кирибати,
Маршалловы Острова,
о-в Норфолк,
Ниуэ,
Науру,
о-ва Питкэрн,
КНДР,
Южная Георгия и Южные Сандвичевы о-ва,
Сан-Марино,
Токелау,
Тувалу,
Внешние малые о-ва (США),
Ватикан,
Уоллис и Футуна,
